Runs,Time spent,Balls Faced,4s,6s,SR,Pos,Dismissal,Inns,Format,Opposition,Ground,Start Date,Runs_scored
12,33,22,1,0,54.54,2,lbw,1,ODI , Sri Lanka,Dambulla,18-Aug-08,12
37,82,67,6,0,55.22,2,caught,2,ODI , Sri Lanka,Dambulla,20-Aug-08,37
25,40,38,4,0,65.78,1,run out,1,ODI , Sri Lanka,Colombo (RPS),24-Aug-08,25
54,87,66,7,0,81.81,1,bowled,1,ODI , Sri Lanka,Colombo (RPS),27-Aug-08,54
31,45,46,3,1,67.39,1,lbw,2,ODI , Sri Lanka,Colombo (RPS),29-Aug-08,31
2,6,2,0,0,100,7,not out,1,ODI , Sri Lanka,Colombo (RPS),14-Sep-09,2
16,28,24,1,0,66.66,4,caught,2,ODI , Pakistan,Centurion,26-Sep-09,16
79,121,104,9,2,75.96,4,not out,2,ODI , West Indies,Johannesburg,30-Sep-09,79
30,53,41,3,0,73.17,4,caught,2,ODI , Australia,Vadodara,25-Oct-09,30
10,32,16,1,0,62.5,3,caught,2,ODI , Australia,Mohali,2-Nov-09,10
27,20,19,4,0,142.1,7,bowled,1,ODI , Sri Lanka,Rajkot,15-Dec-09,27
54,93,65,7,0,83.07,4,lbw,1,ODI , Sri Lanka,Nagpur,18-Dec-09,54
107,,114,11,1,93.85,4,caught,2,ODI , Sri Lanka,Eden Gardens,24-Dec-09,107
9,19,12,1,0,75,3,caught,1,ODI , Sri Lanka,Mirpur,5-Jan-10,9
91,136,102,7,0,89.21,3,caught,2,ODI , Bangladesh,Mirpur,7-Jan-10,91
71,98,68,9,0,104.41,3,not out,2,ODI , Sri Lanka,Mirpur,10-Jan-10,71
102,128,95,11,0,107.36,3,not out,2,ODI , Bangladesh,Mirpur,11-Jan-10,102
2,6,8,0,0,25,3,caught,1,ODI , Sri Lanka,Mirpur,13-Jan-10,2
31,,46,1,0,67.39,5,caught,1,ODI , South Africa,Jaipur,21-Feb-10,31
57,,71,4,1,80.28,3,caught,2,ODI , South Africa,Ahmedabad,27-Feb-10,57
82,125,92,4,0,89.13,3,caught,2,ODI , Sri Lanka,Bulawayo,30-May-10,82
18,28,29,1,0,62.06,3,caught,1,ODI , Zimbabwe,Harare,3-Jun-10,18
